timestamp;location;detailed_event_type;caseID
11/05/2025 11:34;other;START_LIGHT_PA;11/05/2025
11/05/2025 11:35;other;END_LIGHT_PA;11/05/2025
11/05/2025 11:54;other;notification_RECEIVED;11/05/2025
11/05/2025 11:54;other;notification_READ;11/05/2025
11/05/2025 11:54;other;stress_report_low;11/05/2025
11/05/2025 13:24;home;START_LIGHT_PA;11/05/2025
11/05/2025 13:29;invalid;END_LIGHT_PA;11/05/2025
11/05/2025 13:48;other;START_LIGHT_PA;11/05/2025
11/05/2025 14:08;other;END_LIGHT_PA;11/05/2025
11/05/2025 14:55;home;notification_RECEIVED;11/05/2025
11/05/2025 14:55;home;notification_READ;11/05/2025
11/05/2025 14:55;home;stress_report_low;11/05/2025
15/05/2025 08:35;home;notification_RECEIVED;15/05/2025
15/05/2025 08:35;home;notification_READ;15/05/2025
15/05/2025 08:35;home;stress_report_high;15/05/2025
15/05/2025 08:59;invalid;START_LIGHT_PA;15/05/2025
15/05/2025 09:06;other;END_LIGHT_PA;15/05/2025
15/05/2025 10:13;in_transit;START_LIGHT_PA;15/05/2025
15/05/2025 10:26;work;END_LIGHT_PA;15/05/2025
15/05/2025 11:55;work;notification_RECEIVED;15/05/2025
15/05/2025 11:55;work;notification_READ;15/05/2025
15/05/2025 11:55;work;stress_report_low;15/05/2025
