timestamp;location;detailed_event_type;caseID
11/05/2025 22:53;in_transit;light_physical_activity_start;11/05/2025
11/05/2025 22:57;in_transit;light_physical_activity_end;11/05/2025
11/05/2025 22:58;invalid;notification_received;11/05/2025
11/05/2025 23:02;invalid;notification_read;11/05/2025
11/05/2025 23:02;invalid;low_stress_report;11/05/2025
11/05/2025 20:53;home;light_physical_activity_start;11/05/2025
11/05/2025 20:54;home;light_physical_activity_end;11/05/2025
11/05/2025 15:24;home;light_physical_activity_start;11/05/2025
11/05/2025 15:25;home;light_physical_activity_end;11/05/2025
11/05/2025 15:48;other;light_physical_activity_start;11/05/2025
11/05/2025 15:49;other;light_physical_activity_end;11/05/2025
11/05/2025 16:55;home;notification_received;11/05/2025
11/05/2025 16:55;home;notification_read;11/05/2025
11/05/2025 16:55;home;low_stress_report;11/05/2025
15/05/2025 10:35;home;notification_received;15/05/2025
15/05/2025 10:35;home;notification_read;15/05/2025
15/05/2025 10:35;home;high_stress_report;15/05/2025
15/05/2025 10:59;invalid;light_physical_activity_start;15/05/2025
15/05/2025 11:00;invalid;light_physical_activity_end;15/05/2025
15/05/2025 12:13;in_transit;light_physical_activity_start;15/05/2025
15/05/2025 12:14;work;light_physical_activity_end;15/05/2025
15/05/2025 13:55;work;notification_received;15/05/2025
15/05/2025 13:55;work;notification_read;15/05/2025
15/05/2025 13:55;work;low_stress_report;15/05/2025
